3760001 3.98208  -38.7369
3770001 4.01696  -38.738
3780001 4.07567  -38.7599
3790001 4.06491  -38.7617
3800001 4.01194  -38.7671
3810001 4.02505  -38.7782
3820001 4.01919  -38.7356
3830001 4.05421  -38.7513
3840001 4.0695  -38.7555
3850001 4.02858  -38.7541
3860001 4.04532  -38.7574
3870001 4.04082  -38.7611
3880001 4.0765  -38.7483
3890001 4.06807  -38.75
3900001 4.03688  -38.7694
3910001 4.08314  -38.7396
3920001 4.05001  -38.762
3930001 4.05734  -38.7706
3940001 3.99727  -38.7387
3950001 4.06477  -38.7707
3960001 4.05958  -38.7671
3970001 4.01176  -38.7277
3980001 4.07112  -38.7761
3990001 4.04707  -38.7701
4000001 4.03961  -38.7419
4010001 4.0107  -38.7445
4020001 4.05374  -38.7585
4030001 4.0839  -38.7589
4040001 4.01747  -38.7653
4050001 4.05373  -38.7493
4060001 4.07354  -38.7585
4070001 4.013  -38.7538
4080001 4.03751  -38.7856
4090001 4.03885  -38.7597
4100001 4.05097  -38.7431
4110001 4.05904  -38.7651
4120001 4.03783  -38.7531
4130001 3.986  -38.7557
4140001 4.08705  -38.765
4150001 4.0257  -38.738
4160001 4.03128  -38.7738
4170001 3.96885  -38.7438
4180001 4.03604  -38.7728
4190001 4.03776  -38.7583
4200001 4.02433  -38.7508
4210001 3.98094  -38.7511
4220001 4.00397  -38.7388
4230001 4.0208  -38.7677
4240001 3.99671  -38.7421
4250001 4.04436  -38.7786
4260001 4.03528  -38.7328
4270001 4.04646  -38.7524
4280001 4.01343  -38.7459
4290001 4.01968  -38.7359
4300001 4.03236  -38.7625
4310001 4.06773  -38.7414
4320001 4.06422  -38.7661
4330001 4.03392  -38.7492
4340001 4.05389  -38.75
4350001 4.06739  -38.764
4360001 4.06917  -38.7584
4370001 4.08044  -38.7613
4380001 4.0564  -38.7717
4390001 4.05042  -38.7608
4400001 4.0221  -38.7623
4410001 4.0613  -38.7548
4420001 4.03829  -38.7575
4430001 3.9883  -38.738
4440001 4.03537  -38.7324
4450001 4.00094  -38.7353
4460001 4.02341  -38.7809
4470001 4.08399  -38.7335
4480001 4.01191  -38.7365
4490001 4.01729  -38.7519
4500001 4.03222  -38.7365
4510001 4.07236  -38.761
4520001 4.13595  -38.7532
4530001 4.01279  -38.7687
4540001 4.03191  -38.7435
4550001 4.0232  -38.7548
4560001 4.103  -38.7428
4570001 4.04952  -38.7555
4580001 4.00582  -38.7598
4590001 4.06219  -38.7696
4600001 3.99635  -38.7463
4610001 4.06619  -38.7512
4620001 3.99484  -38.7469
4630001 4.00905  -38.76
4640001 4.05508  -38.7613
4650001 4.02178  -38.764
4660001 4.04616  -38.7242
4670001 4.02337  -38.7893
4680001 3.99536  -38.7421
4690001 4.06352  -38.7638
4700001 4.07277  -38.7669
4710001 4.06838  -38.7643
4720001 4.05016  -38.7661
4730001 4.06084  -38.7553
4740001 4.02776  -38.7647
4750001 4.05764  -38.7571
4760001 4.03442  -38.7711
4770001 4.05577  -38.762
4780001 4.04108  -38.7557
4790001 4.06147  -38.7623
4800001 4.09553  -38.7681
4810001 4.14751  -38.7578
4820001 4.00995  -38.7693
4830001 4.05042  -38.7537
4840001 4.00244  -38.748
4850001 4.02471  -38.7658
4860001 3.99063  -38.7643
4870001 4.01585  -38.7423
4880001 4.1018  -38.7528
4890001 4.10448  -38.7537
4900001 4.06652  -38.766
4910001 4.01561  -38.7708
4920001 4.042  -38.7527
4930001 4.01088  -38.74
4940001 4.07703  -38.7519
4950001 4.09263  -38.7726
4960001 4.0435  -38.7436
4970001 4.03205  -38.7356
4980001 4.07973  -38.7471
4990001 4.02114  -38.7481
